Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Complete coding challenge,Work,Learn new programming language,Medium,91,86,0.72,2023-03-29 11:00:00,80,Under,Fair
Attend team meeting,Learning,Write technical document,Medium,103,73,0.78,2023-03-30 15:00:00,270,Under,Good
Code review,Work,Code collaboratively,Medium,35,52,0.65,2023-03-29 17:00:00,170,Over,Fair
Code review,Learning,Code collaboratively,Medium,119,117,0.65,2023-03-28 14:00:00,320,Under,Fair
Sprint planning,Work,Discuss project progress,Medium,177,147,0.85,2023-03-30 15:00:00,250,Under,Good
Pair programming,Learning,Submit a functioning solution,High,229,193,0.6,2023-04-02 10:00:00,80,Under,Fair
Attend team meeting,Work,Submit a functioning solution,Medium,195,244,0.77,2023-03-30 15:00:00,110,Over,Good
Code review,Learning,Learn new skills,Medium,75,107,0.93,2023-03-28 10:00:00,320,Over,Good
Writing technical documentation,Work,Fix errors in code,Low,96,78,0.92,2023-03-28 10:00:00,55,Under,Good
Attending conference,Work,Fix errors in code,Medium,221,241,0.68,2023-04-05 18:00:00,210,Over,Fair
Complete coding challenge,Learning,Network with peers,Medium,50,58,0.92,2023-03-30 14:00:00,190,Over,Good
Learning new technology,Work,Discuss project progress,Low,137,88,0.95,2023-04-02 10:00:00,270,Under,Good
Learning new technology,Learning,Refactor existing code,High,120,93,0.77,2023-04-01 12:00:00,220,Under,Good
Complete coding challenge,Learning,Code collaboratively,Low,130,171,0.97,2023-03-28 10:00:00,270,Over,Good
Writing technical documentation,Work,Discuss project progress,Medium,174,190,0.65,2023-04-02 10:00:00,170,Over,Fair
Attend team meeting,Learning,Write technical document,Medium,31,46,0.89,2023-03-31 16:00:00,250,Over,Good
Attend team meeting,Work,Code collaboratively,Low,168,183,0.73,2023-04-01 12:00:00,110,Over,Fair
Code refactoring,Work,Fix errors in code,Medium,227,129,0.95,2023-03-29 17:00:00,110,Under,Good
Debugging,Work,Code collaboratively,Low,34,46,0.84,2023-03-29 11:00:00,190,Over,Good
Pair programming,Work,Network with peers,Low,159,129,0.92,2023-03-29 17:00:00,100,Under,Good
Writing technical documentation,Learning,Network with peers,Low,45,62,0.71,2023-04-05 18:00:00,130,Over,Fair
Attend team meeting,Work,Submit a functioning solution,Low,40,30,0.7,2023-03-31 16:00:00,100,Under,Fair
Debugging,Learning,Review code changes,High,137,132,0.71,2023-03-29 11:00:00,100,Under,Fair
Debugging,Learning,Review code changes,Medium,181,210,0.64,2023-04-02 10:00:00,110,Over,Fair
Code refactoring,Learning,Fix errors in code,Medium,51,76,0.74,2023-04-01 12:00:00,55,Over,Fair
Sprint planning,Work,Code collaboratively,High,58,33,0.69,2023-04-05 18:00:00,210,Under,Fair
Writing technical documentation,Learning,Review code changes,Medium,100,79,0.82,2023-04-04 11:00:00,210,Under,Good
Debugging,Work,Refactor existing code,Medium,66,92,1.0,2023-03-28 10:00:00,80,Over,Good
Writing technical documentation,Work,Learn new programming language,Low,53,73,0.96,2023-04-05 18:00:00,270,Over,Good
Code review,Learning,Learn new programming language,Medium,221,215,0.66,2023-04-04 11:00:00,55,Under,Fair
Pair programming,Work,Refactor existing code,Medium,191,162,0.88,2023-04-01 12:00:00,100,Under,Good
Learning new technology,Learning,Code collaboratively,Medium,96,76,0.68,2023-04-01 12:00:00,320,Under,Fair
Attend team meeting,Learning,Review code changes,Low,91,49,0.69,2023-04-04 11:00:00,130,Under,Fair
Code refactoring,Work,Plan upcoming sprint,Medium,201,272,0.65,2023-03-30 15:00:00,170,Over,Fair
Code review,Work,Discuss project progress,High,101,54,0.88,2023-04-01 12:00:00,350,Under,Good
Attending conference,Learning,Review code changes,High,234,182,0.72,2023-04-01 12:00:00,210,Under,Fair
Learning new technology,Work,Network with peers,High,146,205,0.76,2023-04-02 10:00:00,220,Over,Good
Attending training session,Work,Write technical document,Low,196,188,0.78,2023-03-28 10:00:00,210,Under,Good
Complete coding challenge,Learning,Refactor existing code,Medium,110,116,0.98,2023-03-28 14:00:00,210,Over,Good
Sprint planning,Work,Discuss project progress,Medium,89,133,0.88,2023-03-29 17:00:00,250,Over,Good
Attend team meeting,Work,Learn new skills,High,97,101,0.63,2023-03-30 15:00:00,350,Over,Fair
Complete coding challenge,Learning,Plan upcoming sprint,Medium,72,89,0.62,2023-03-28 10:00:00,270,Over,Fair
Attending conference,Learning,Submit a functioning solution,Medium,90,61,0.65,2023-04-04 11:00:00,250,Under,Fair
Writing technical documentation,Learning,Code collaboratively,Medium,109,112,0.88,2023-04-04 11:00:00,350,Over,Good
Attend team meeting,Learning,Learn new skills,Medium,48,38,0.98,2023-03-31 16:00:00,190,Under,Good
Complete coding challenge,Work,Submit a functioning solution,High,42,25,0.65,2023-04-05 18:00:00,350,Under,Fair
Code refactoring,Learning,Plan upcoming sprint,High,150,121,0.99,2023-04-05 18:00:00,210,Under,Good
Writing technical documentation,Work,Network with peers,Medium,202,141,0.8,2023-03-30 15:00:00,210,Under,Good
Attending conference,Learning,Write technical document,Medium,89,64,0.77,2023-03-28 10:00:00,100,Under,Good
Attending training session,Work,Discuss project progress,Medium,137,124,0.83,2023-04-01 12:00:00,210,Under,Good
Attend team meeting,Work,Plan upcoming sprint,Low,104,93,0.81,2023-03-28 10:00:00,130,Under,Good
Code review,Learning,Network with peers,Medium,119,162,0.64,2023-04-05 18:00:00,130,Over,Fair
Sprint planning,Learning,Learn new programming language,Low,64,76,0.67,2023-04-02 10:00:00,220,Over,Fair
Learning new technology,Learning,Learn new programming language,Low,158,220,0.77,2023-03-30 15:00:00,270,Over,Good
Sprint planning,Work,Network with peers,Medium,46,46,0.69,2023-03-30 14:00:00,110,Accurate,Fair
Debugging,Work,Code collaboratively,High,74,83,0.77,2023-04-01 12:00:00,420,Over,Good
Writing technical documentation,Work,Review code changes,Low,42,23,0.94,2023-03-29 11:00:00,270,Under,Good
Pair programming,Work,Review code changes,Medium,157,229,0.74,2023-03-28 10:00:00,170,Over,Fair
Debugging,Work,Write technical document,Medium,71,96,0.74,2023-03-29 17:00:00,250,Over,Fair
Code review,Work,Fix errors in code,High,56,49,0.91,2023-04-01 12:00:00,130,Under,Good
Attend team meeting,Learning,Write technical document,High,33,47,0.66,2023-03-28 14:00:00,100,Over,Fair
Attending training session,Work,Plan upcoming sprint,High,181,205,0.94,2023-03-30 14:00:00,190,Over,Good
Sprint planning,Work,Learn new programming language,Medium,132,171,0.97,2023-03-28 10:00:00,270,Over,Good
Complete coding challenge,Work,Submit a functioning solution,High,48,38,0.81,2023-04-02 10:00:00,420,Under,Good
Sprint planning,Work,Learn new skills,High,96,95,0.7,2023-03-30 15:00:00,110,Under,Fair
Debugging,Learning,Review code changes,Medium,58,68,0.95,2023-03-31 16:00:00,55,Over,Good
Pair programming,Work,Fix errors in code,High,164,134,0.88,2023-04-02 10:00:00,170,Under,Good
Pair programming,Learning,Learn new skills,Medium,58,38,0.91,2023-04-02 10:00:00,130,Under,Good
Code review,Learning,Network with peers,Low,110,79,0.71,2023-04-01 12:00:00,130,Under,Fair
Complete coding challenge,Work,Review code changes,High,36,53,0.81,2023-04-05 18:00:00,55,Over,Good
Debugging,Learning,Write technical document,High,126,144,0.71,2023-04-05 18:00:00,100,Over,Fair
Attend team meeting,Learning,Submit a functioning solution,Low,45,52,0.89,2023-03-30 14:00:00,250,Over,Good
Learning new technology,Learning,Network with peers,High,146,212,0.68,2023-03-30 14:00:00,130,Over,Fair
Code refactoring,Learning,Write technical document,Medium,171,142,0.77,2023-03-31 16:00:00,170,Under,Good
Debugging,Work,Write technical document,High,200,104,0.76,2023-03-30 15:00:00,350,Under,Good
Attending training session,Work,Fix errors in code,Low,223,133,0.62,2023-03-30 15:00:00,170,Under,Fair
Code refactoring,Work,Discuss project progress,High,218,187,0.95,2023-03-29 17:00:00,80,Under,Good
Learning new technology,Learning,Learn new skills,High,143,78,0.96,2023-03-30 14:00:00,55,Under,Good
Attending conference,Learning,Plan upcoming sprint,Low,71,57,0.74,2023-03-29 11:00:00,170,Under,Fair
Attending training session,Learning,Fix errors in code,Medium,101,130,0.85,2023-04-05 18:00:00,190,Over,Good
Sprint planning,Work,Review code changes,High,235,269,0.9,2023-03-31 16:00:00,420,Over,Good
Attending conference,Work,Plan upcoming sprint,Low,117,137,0.98,2023-03-31 16:00:00,320,Over,Good
Complete coding challenge,Work,Fix errors in code,High,196,250,0.99,2023-04-01 12:00:00,190,Over,Good
Writing technical documentation,Learning,Fix errors in code,High,114,144,0.67,2023-03-31 16:00:00,55,Over,Fair
Attend team meeting,Learning,Code collaboratively,Medium,77,101,0.96,2023-03-29 17:00:00,420,Over,Good
Code refactoring,Work,Fix errors in code,Low,189,228,0.65,2023-03-28 14:00:00,55,Over,Fair
Complete coding challenge,Learning,Write technical document,High,68,70,0.91,2023-03-29 17:00:00,350,Over,Good
Attending training session,Work,Learn new programming language,Medium,221,205,0.67,2023-04-02 10:00:00,80,Under,Fair
Pair programming,Learning,Refactor existing code,High,135,172,0.9,2023-03-29 11:00:00,420,Over,Good
Attending conference,Work,Write technical document,Medium,221,247,0.8,2023-03-29 17:00:00,100,Over,Good
Code refactoring,Learning,Plan upcoming sprint,Low,165,153,0.95,2023-03-29 11:00:00,250,Under,Good
Pair programming,Work,Plan upcoming sprint,Low,204,247,0.66,2023-03-31 16:00:00,170,Over,Fair
Complete coding challenge,Learning,Code collaboratively,Medium,182,133,0.61,2023-03-30 15:00:00,250,Under,Fair
Pair programming,Work,Write technical document,High,73,80,0.83,2023-03-30 14:00:00,320,Over,Good
Complete coding challenge,Work,Learn new programming language,Medium,31,23,0.69,2023-04-04 11:00:00,190,Under,Fair
Attending training session,Work,Review code changes,Low,150,156,0.97,2023-04-02 10:00:00,320,Over,Good
Attend team meeting,Learning,Review code changes,High,80,56,0.62,2023-03-29 11:00:00,80,Under,Fair
Complete coding challenge,Learning,Fix errors in code,Medium,123,164,0.88,2023-03-31 16:00:00,270,Over,Good
Learning new technology,Work,Learn new skills,Medium,132,112,0.79,2023-04-02 10:00:00,100,Under,Good
Sprint planning,Learning,Discuss project progress,High,178,107,0.68,2023-03-30 14:00:00,420,Under,Fair
Debugging,Learning,Submit a functioning solution,Medium,137,203,0.67,2023-03-29 11:00:00,350,Over,Fair
Pair programming,Learning,Discuss project progress,Low,184,173,0.72,2023-03-28 10:00:00,80,Under,Fair
Complete coding challenge,Learning,Discuss project progress,Low,100,121,0.71,2023-03-28 14:00:00,350,Over,Fair
Complete coding challenge,Learning,Fix errors in code,Medium,79,73,0.98,2023-03-28 14:00:00,250,Under,Good
Complete coding challenge,Learning,Learn new programming language,Low,153,172,0.99,2023-03-31 16:00:00,350,Over,Good
Writing technical documentation,Learning,Learn new programming language,Low,143,81,0.92,2023-04-01 12:00:00,220,Under,Good
Code refactoring,Work,Learn new programming language,Low,42,30,0.79,2023-04-04 11:00:00,420,Under,Good
Attend team meeting,Work,Learn new skills,Low,203,283,0.86,2023-03-29 11:00:00,190,Over,Good
Debugging,Work,Network with peers,Low,127,134,0.94,2023-04-05 18:00:00,190,Over,Good
Code refactoring,Learning,Code collaboratively,High,223,187,0.93,2023-03-31 16:00:00,320,Under,Good
Writing technical documentation,Work,Refactor existing code,High,98,71,0.68,2023-04-04 11:00:00,190,Under,Fair
Sprint planning,Learning,Plan upcoming sprint,Medium,95,117,0.87,2023-03-30 14:00:00,55,Over,Good
Sprint planning,Work,Learn new skills,High,37,23,0.85,2023-04-02 10:00:00,110,Under,Good
Attending conference,Work,Fix errors in code,High,40,48,0.68,2023-03-29 17:00:00,420,Over,Fair
Complete coding challenge,Learning,Code collaboratively,Low,139,128,0.91,2023-04-01 12:00:00,350,Under,Good
Debugging,Learning,Review code changes,High,208,228,0.63,2023-03-30 14:00:00,210,Over,Fair
Complete coding challenge,Work,Plan upcoming sprint,Low,145,167,0.8,2023-04-02 10:00:00,170,Over,Good
Code review,Work,Learn new programming language,High,240,323,0.8,2023-04-02 10:00:00,110,Over,Good
Code refactoring,Work,Review code changes,Medium,88,55,0.61,2023-03-29 11:00:00,130,Under,Fair
Attend team meeting,Work,Code collaboratively,Low,81,85,0.94,2023-04-05 18:00:00,80,Over,Good
Learning new technology,Work,Code collaboratively,Low,118,168,0.76,2023-03-31 16:00:00,130,Over,Good
Code refactoring,Work,Discuss project progress,Low,188,113,0.66,2023-03-29 17:00:00,130,Under,Fair
Learning new technology,Work,Fix errors in code,Medium,215,124,0.85,2023-03-29 11:00:00,55,Under,Good
Attending conference,Work,Code collaboratively,Low,185,161,0.82,2023-03-29 17:00:00,130,Under,Good
Writing technical documentation,Learning,Refactor existing code,Medium,202,296,0.83,2023-03-30 14:00:00,270,Over,Good
Code review,Work,Refactor existing code,Medium,132,94,0.77,2023-03-28 14:00:00,170,Under,Good
Code refactoring,Work,Discuss project progress,Low,97,137,0.88,2023-03-29 11:00:00,55,Over,Good
Complete coding challenge,Work,Plan upcoming sprint,High,41,39,0.72,2023-03-28 10:00:00,80,Under,Fair
Writing technical documentation,Work,Review code changes,Low,68,99,0.89,2023-03-30 14:00:00,320,Over,Good
Sprint planning,Work,Code collaboratively,Medium,61,77,0.97,2023-04-04 11:00:00,130,Over,Good
Attending training session,Learning,Write technical document,High,137,85,0.74,2023-03-28 14:00:00,420,Under,Fair
Sprint planning,Work,Learn new skills,Low,89,112,0.8,2023-03-30 14:00:00,55,Over,Good
Attending training session,Work,Plan upcoming sprint,Medium,195,266,0.65,2023-03-30 14:00:00,210,Over,Fair
Sprint planning,Work,Learn new programming language,Low,40,60,0.69,2023-04-04 11:00:00,220,Over,Fair
Learning new technology,Work,Network with peers,Medium,139,171,0.91,2023-04-01 12:00:00,110,Over,Good
Code review,Learning,Learn new programming language,Medium,124,129,0.61,2023-04-05 18:00:00,100,Over,Fair
Code review,Learning,Discuss project progress,High,94,135,0.78,2023-03-29 11:00:00,420,Over,Good
Sprint planning,Learning,Discuss project progress,Low,110,160,0.89,2023-03-29 11:00:00,210,Over,Good
Code refactoring,Learning,Network with peers,Low,55,70,0.73,2023-04-02 10:00:00,55,Over,Fair
Code review,Work,Network with peers,Low,66,48,0.96,2023-04-01 12:00:00,170,Under,Good
Debugging,Learning,Learn new programming language,High,55,35,0.88,2023-03-29 11:00:00,210,Under,Good
Code refactoring,Work,Review code changes,Medium,88,78,0.71,2023-04-05 18:00:00,190,Under,Fair
Code refactoring,Learning,Plan upcoming sprint,Medium,95,86,0.93,2023-04-04 11:00:00,420,Under,Good
Complete coding challenge,Work,Plan upcoming sprint,Low,152,160,0.89,2023-03-28 14:00:00,420,Over,Good
Debugging,Learning,Write technical document,Medium,139,154,0.64,2023-04-01 12:00:00,130,Over,Fair
Attending conference,Learning,Refactor existing code,Low,43,54,0.81,2023-04-04 11:00:00,110,Over,Good
Attending conference,Learning,Review code changes,Medium,198,253,1.0,2023-03-28 10:00:00,170,Over,Good
Attend team meeting,Learning,Network with peers,Medium,176,93,0.62,2023-04-05 18:00:00,130,Under,Fair
Learning new technology,Work,Review code changes,Medium,81,56,0.97,2023-04-05 18:00:00,250,Under,Good
Sprint planning,Learning,Network with peers,Low,83,98,0.92,2023-03-29 17:00:00,80,Over,Good
Sprint planning,Work,Review code changes,Medium,125,104,1.0,2023-03-29 17:00:00,110,Under,Good
Sprint planning,Learning,Discuss project progress,High,201,192,0.66,2023-04-05 18:00:00,130,Under,Fair
Complete coding challenge,Work,Write technical document,Low,207,165,0.6,2023-03-29 11:00:00,320,Under,Fair
Pair programming,Work,Network with peers,High,170,166,0.79,2023-03-30 14:00:00,55,Under,Good
Code review,Work,Refactor existing code,Medium,83,47,0.85,2023-04-01 12:00:00,220,Under,Good
Attending training session,Learning,Discuss project progress,High,61,38,0.84,2023-03-31 16:00:00,80,Under,Good
Learning new technology,Work,Learn new skills,Medium,169,157,0.67,2023-04-05 18:00:00,320,Under,Fair
Attending training session,Learning,Submit a functioning solution,Low,229,228,0.82,2023-04-01 12:00:00,80,Under,Good
Pair programming,Learning,Review code changes,Low,30,28,0.87,2023-04-02 10:00:00,170,Under,Good
Complete coding challenge,Learning,Write technical document,High,179,186,0.64,2023-03-29 17:00:00,110,Over,Fair
Attending training session,Work,Submit a functioning solution,High,72,101,0.73,2023-04-01 12:00:00,220,Over,Fair
Debugging,Learning,Fix errors in code,Low,219,275,0.75,2023-04-02 10:00:00,320,Over,Good
Complete coding challenge,Learning,Review code changes,High,75,77,0.65,2023-03-28 14:00:00,320,Over,Fair
Attending training session,Work,Write technical document,Low,216,195,0.85,2023-03-28 14:00:00,55,Under,Good
Complete coding challenge,Work,Write technical document,Low,173,231,0.99,2023-03-29 17:00:00,210,Over,Good
Complete coding challenge,Learning,Code collaboratively,Medium,120,164,0.75,2023-03-29 17:00:00,250,Over,Good
Attending training session,Learning,Learn new skills,Medium,122,98,0.78,2023-03-30 14:00:00,350,Under,Good
